log10_E_eV,E_eV,E_EeV,counts,exposure,flux,flux_error,delta_E_eV
18.55,3.5481338923357604e+18,3.5481338923357604,1,9.1811,1.3331824671754416e-19,1.3331824671754416e-19,8.169880208439379e+17
18.65,4.4668359215096166e+18,4.466835921509617,0,0.0,0.0,0.0,1.0285269805718513e+18
18.75,5.623413251903491e+18,5.623413251903491,0,0.0,0.0,0.0,1.2948387525578335e+18
18.85,7.079457843841402e+18,7.079457843841402,0,0.0,0.0,0.0,1.6301054097709215e+18
18.95,8.91250938133744e+18,8.91250938133744,0,0.0,0.0,0.0,2.0521811242637468e+18
19.05,1.1220184543019653e+19,11.220184543019654,1,9.1591,4.226019635363474e-20,4.226019635363474e-20,2.5835429669399634e+18
19.15,1.4125375446227497e+19,14.125375446227498,0,0.0,0.0,0.0,3.252487893542802e+18
19.25,1.7782794100389229e+19,17.78279410038923,0,0.0,0.0,0.0,4.0946396607339284e+18
19.35,2.238721138568347e+19,22.387211385683468,0,0.0,0.0,0.0,5.154845921038206e+18
19.45,2.8183829312644493e+19,28.183829312644495,0,0.0,0.0,0.0,6.489566523878476e+18
19.55,3.5481338923357606e+19,35.481338923357605,0,0.0,0.0,0.0,8.169880208439379e+18
19.65,4.466835921509617e+19,44.66835921509617,0,0.0,0.0,0.0,1.0285269805718512e+19
19.75,5.6234132519034905e+19,56.2341325190349,0,0.0,0.0,0.0,1.2948387525578332e+19
19.85,7.0794578438414025e+19,70.79457843841402,0,0.0,0.0,0.0,1.6301054097709216e+19
19.95,8.91250938133744e+19,89.1250938133744,0,0.0,0.0,0.0,2.0521811242637468e+19
20.05,1.1220184543019654e+20,112.20184543019654,0,0.0,0.0,0.0,2.5835429669399634e+19
20.15,1.4125375446227496e+20,141.25375446227497,0,0.0,0.0,0.0,3.2524878935428014e+19
20.25,1.778279410038923e+20,177.8279410038923,0,0.0,0.0,0.0,4.094639660733928e+19
20.35,2.238721138568347e+20,223.8721138568347,0,0.0,0.0,0.0,5.1548459210382066e+19
20.45,2.818382931264449e+20,281.8382931264449,0,0.0,0.0,0.0,6.489566523878475e+19
