observable,uncertainty_source,variance_contribution,rms_uncertainty,relative_uncertainty,fractional_contribution
UHECR,stochastic_loss_errors,0.10794200908415644,0.3285452922873138,0.24729702042876378,0.53544970811957
UHECR,composition_errors,0.045413155052097656,0.21310362515006087,0.1756681133680562,0.22527337432154207
UHECR,energy_reconstruction_errors,0.02448908147939518,0.1564898766035528,0.13531452351588363,0.12147885370593102
UHECR,shower_fluctuation_errors,0.01466684474559109,0.12110674938082969,0.10802427997843658,0.07275534154583846
UHECR,atmospheric_errors,0.006423493182308951,0.08014669788774177,0.07419982678692714,0.03186393859775039
UHECR,detector_acceptance_errors,0.0026567282964268003,0.051543460268270704,0.049016956707734066,0.013178783709367994
