observable,uncertainty_source,variance_contribution,rms_uncertainty,relative_uncertainty,fractional_contribution
Hidden,background_errors,479810293784.16486,692683.400829098,0.9999985563411002,0.9999999999995252
Hidden,mixing_angle_errors,0.10395711629412874,0.322423814713071,0.24381277100868604,2.1666295542388436e-13
Hidden,coupling_theory_errors,0.0697185600642019,0.26404272393724826,0.20888749955761488,1.4530442753595986e-13
Hidden,sensitivity_errors,0.044235622472621264,0.21032266276514583,0.1737740432659794,9.219398384249539e-14
Hidden,efficiency_errors,0.009969930549109992,0.09984953955382064,0.09078472642205852,2.0778900907845206e-14
