mu_GeV,field_name,E_field_V_per_m,log_rate_standard,log_rate_liv,enhancement_factor,log_enhancement,observable_standard,observable_liv,exponential_enhancement,net_enhancement_db,model,coupling
28072162039411.812,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
28072162039411.812,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
28072162039411.812,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
28072162039411.812,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0000000000000047,2.025087679761898e-15,True,True,False,2.025087679761898e-14,polynomial,0.1
45203536563602.41,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
45203536563602.41,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
45203536563602.41,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
45203536563602.41,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
45203536563602.41,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0000000000000029,1.2536257065192714e-15,True,True,False,1.2536257065192713e-14,polynomial,0.1
72789538439831.61,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
72789538439831.61,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
72789538439831.61,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
72789538439831.61,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
72789538439831.61,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0000000000000018,7.71461973242629e-16,True,True,False,7.714619732426289e-15,polynomial,0.1
117210229753347.94,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
117210229753347.94,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
117210229753347.94,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
117210229753347.94,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
117210229753347.94,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.000000000000001,4.821637332766433e-16,True,True,False,4.821637332766433e-15,polynomial,0.1
188739182213509.97,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
188739182213509.97,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
188739182213509.97,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
188739182213509.97,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
188739182213509.97,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0000000000000007,2.8929823996598605e-16,True,True,False,2.8929823996598604e-15,polynomial,0.1
303919538231319.5,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
303919538231319.5,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
303919538231319.5,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
303919538231319.5,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
303919538231319.5,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0000000000000004,1.9286549331065737e-16,True,True,False,1.928654933106574e-15,polynomial,0.1
489390091847749.9,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
489390091847749.9,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
489390091847749.9,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
