model_type,mu_GeV,coupling,golden_model,viable_model,testable_model,grb_constraint_passed,uhecr_constraint_passed,max_vacuum_enhancement,vacuum_detectable,max_grb_conversion,hidden_sector_detectable
polymer_quantum,100000000000000.0,1e-12,False,False,True,False,False,10.900990099010556,True,3.895211404439382e-40,False
polymer_quantum,100000000000000.0,1e-10,False,False,True,False,False,10.900990099010556,True,3.895211404439382e-40,False
polymer_quantum,100000000000000.0,1e-08,False,False,True,False,False,10.900990099010556,True,3.895211404439382e-40,False
polymer_quantum,100000000000000.0,1e-06,False,False,True,False,False,10.900990099010556,True,3.895211404439382e-40,False
polymer_quantum,100000000000000.0,0.0001,False,False,True,False,False,10.900990099010556,True,3.895211404439382e-40,False
polymer_quantum,268269579527972.72,1e-12,False,False,True,False,False,10.900990099010144,True,3.895211404439382e-40,False
polymer_quantum,268269579527972.72,1e-10,False,False,True,False,False,10.900990099010144,True,3.895211404439382e-40,False
polymer_quantum,268269579527972.72,1e-08,False,False,True,False,False,10.900990099010144,True,3.895211404439382e-40,False
polymer_quantum,268269579527972.72,1e-06,False,False,True,False,False,10.900990099010144,True,3.895211404439382e-40,False
polymer_quantum,268269579527972.72,0.0001,False,False,True,False,False,10.900990099010144,True,3.895211404439382e-40,False
polymer_quantum,719685673001152.9,1e-12,False,False,True,False,False,10.900990099009995,True,3.895211404439382e-40,False
polymer_quantum,719685673001152.9,1e-10,False,False,True,False,False,10.900990099009995,True,3.895211404439382e-40,False
polymer_quantum,719685673001152.9,1e-08,False,False,True,False,False,10.900990099009995,True,3.895211404439382e-40,False
polymer_quantum,719685673001152.9,1e-06,False,False,True,False,False,10.900990099009995,True,3.895211404439382e-40,False
polymer_quantum,719685673001152.9,0.0001,False,False,True,False,False,10.900990099009995,True,3.895211404439382e-40,False
polymer_quantum,1930697728883245.8,1e-12,False,False,True,False,False,10.900990099009936,True,3.895211404439382e-40,False
polymer_quantum,1930697728883245.8,1e-10,False,False,True,False,False,10.900990099009936,True,3.895211404439382e-40,False
polymer_quantum,1930697728883245.8,1e-08,False,False,True,False,False,10.900990099009936,True,3.895211404439382e-40,False
polymer_quantum,1930697728883245.8,1e-06,False,False,True,False,False,10.900990099009936,True,3.895211404439382e-40,False
polymer_quantum,1930697728883245.8,0.0001,False,False,True,False,False,10.900990099009936,True,3.895211404439382e-40,False
polymer_quantum,5179474679231202.0,1e-12,False,False,True,False,False,10.900990099009915,True,3.895211404439382e-40,False
polymer_quantum,5179474679231202.0,1e-10,False,False,True,False,False,10.900990099009915,True,3.895211404439382e-40,False
polymer_quantum,5179474679231202.0,1e-08,False,False,True,False,False,10.900990099009915,True,3.895211404439382e-40,False
polymer_quantum,5179474679231202.0,1e-06,False,False,True,False,False,10.900990099009915,True,3.895211404439382e-40,False
polymer_quantum,5179474679231202.0,0.0001,False,False,True,False,False,10.900990099009915,True,3.895211404439382e-40,False
polymer_quantum,1.389495494373136e+16,1e-12,False,False,True,True,False,10.900990099009908,True,3.895211404439382e-40,False
polymer_quantum,1.389495494373136e+16,1e-10,False,False,True,True,False,10.900990099009908,True,3.895211404439382e-40,False
polymer_quantum,1.389495494373136e+16,1e-08,False,False,True,True,False,10.900990099009908,True,3.895211404439382e-40,False
polymer_quantum,1.389495494373136e+16,1e-06,False,False,True,True,False,10.900990099009908,True,3.895211404439382e-40,False
polymer_quantum,1.389495494373136e+16,0.0001,False,False,True,True,False,10.900990099009908,True,3.895211404439382e-40,False
polymer_quantum,3.7275937203149224e+16,1e-12,False,False,True,True,False,10.900990099009904,True,3.895211404439382e-40,False
polymer_quantum,3.7275937203149224e+16,1e-10,False,False,True,True,False,10.900990099009904,True,3.895211404439382e-40,False
polymer_quantum,3.7275937203149224e+16,1e-08,False,False,True,True,False,10.900990099009904,True,3.895211404439382e-40,False
polymer_quantum,3.7275937203149224e+16,1e-06,False,False,True,True,False,10.900990099009904,True,3.895211404439382e-40,False
polymer_quantum,3.7275937203149224e+16,0.0001,False,False,True,True,False,10.900990099009904,True,3.895211404439382e-40,False
polymer_quantum,1e+17,1e-12,False,False,True,True,False,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1e+17,1e-10,False,False,True,True,False,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1e+17,1e-08,False,False,True,True,False,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1e+17,1e-06,False,False,True,True,False,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1e+17,0.0001,False,False,True,True,False,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,2.6826957952797165e+17,1e-12,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,2.6826957952797165e+17,1e-10,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,2.6826957952797165e+17,1e-08,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,2.6826957952797165e+17,1e-06,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,2.6826957952797165e+17,0.0001,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,7.196856730011529e+17,1e-12,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,7.196856730011529e+17,1e-10,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,7.196856730011529e+17,1e-08,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,7.196856730011529e+17,1e-06,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,7.196856730011529e+17,0.0001,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1.9306977288832456e+18,1e-12,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1.9306977288832456e+18,1e-10,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1.9306977288832456e+18,1e-08,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1.9306977288832456e+18,1e-06,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1.9306977288832456e+18,0.0001,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,5.179474679231223e+18,1e-12,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,5.179474679231223e+18,1e-10,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,5.179474679231223e+18,1e-08,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,5.179474679231223e+18,1e-06,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,5.179474679231223e+18,0.0001,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1.389495494373136e+19,1e-12,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1.389495494373136e+19,1e-10,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1.389495494373136e+19,1e-08,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1.389495494373136e+19,1e-06,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1.389495494373136e+19,0.0001,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,3.727593720314923e+19,1e-12,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,3.727593720314923e+19,1e-10,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,3.727593720314923e+19,1e-08,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,3.727593720314923e+19,1e-06,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,3.727593720314923e+19,0.0001,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1e+20,1e-12,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1e+20,1e-10,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1e+20,1e-08,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1e+20,1e-06,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
polymer_quantum,1e+20,0.0001,True,True,True,True,True,10.900990099009901,True,3.895211404439382e-40,False
rainbow_gravity,100000000000000.0,1e-12,False,False,True,False,False,10.900990099010556,True,3.895211404439382e-40,False
rainbow_gravity,100000000000000.0,1e-10,False,False,True,False,False,10.900990099010556,True,9.695315864283996e-37,False
rainbow_gravity,100000000000000.0,1e-08,False,False,True,False,False,10.900990099010556,True,9.695315864283996e-33,False
rainbow_gravity,100000000000000.0,1e-06,False,False,True,False,False,10.900990099010556,True,9.695315864283993e-29,False
rainbow_gravity,100000000000000.0,0.0001,False,False,True,False,False,10.900990099010556,True,9.695315864283995e-25,False
rainbow_gravity,268269579527972.72,1e-12,False,False,True,False,False,10.900990099010144,True,3.895211404439382e-40,False
rainbow_gravity,268269579527972.72,1e-10,False,False,True,False,False,10.900990099010144,True,1.3471597269946627e-37,False
