observable,uncertainty_source,variance_contribution,rms_uncertainty,relative_uncertainty,fractional_contribution
Hidden,background_errors,36198211760199.92,6016494.973005456,0.9999998337902984,0.9999999999999938
Hidden,mixing_angle_errors,0.10205006582097742,0.3194527599207392,0.24211003957423152,2.819201857180725e-15
Hidden,coupling_theory_errors,0.06800639431455215,0.26078035645836545,0.20684043427748086,1.878722484001959e-15
Hidden,sensitivity_errors,0.04331967345561323,0.20813378739554333,0.17227710173078728,1.1967351796986588e-15
Hidden,efficiency_errors,0.009926245065515238,0.09963054283459083,0.09060365182088026,2.7421921091773715e-16
