confidence_level,contour_id,point_id,log_mu,log_coupling
0.68,0,0,15.831607163913256,-10.0
0.68,0,1,15.833333333333334,-9.996221409494568
0.68,0,2,15.973711796800906,-9.791666666666666
0.68,0,3,16.029343306296877,-9.583333333333334
0.68,0,4,16.041666666666668,-9.542548054183161
0.68,0,5,16.17467686394923,-9.375
0.68,0,6,16.25,-9.312150771243763
0.68,0,7,16.35854001101401,-9.166666666666666
0.68,0,8,16.379685619238245,-8.958333333333334
0.68,0,9,16.458333333333332,-8.771347723050921
0.68,0,10,16.480815199257037,-8.75
0.68,0,11,16.666666666666668,-8.591257036419156
0.68,0,12,16.71021035965607,-8.541666666666666
0.68,0,13,16.875,-8.442429048338704
0.68,0,14,17.035544319710556,-8.333333333333334
0.68,0,15,17.083333333333332,-8.314802937475145
0.68,0,16,17.291666666666668,-8.200288593659367
0.68,0,17,17.393032121070362,-8.125
0.68,0,18,17.5,-8.077275969915153
0.68,0,19,17.708333333333332,-8.049093598302022
0.68,0,20,17.867784540091275,-7.916666666666666
0.68,0,21,17.916666666666668,-7.874765818178217
0.68,0,22,17.97445157273509,-7.916666666666666
0.68,0,23,18.125,-8.026989146598899
0.68,0,24,18.244184930044014,-7.916666666666666
0.68,0,25,18.300515442273728,-7.708333333333333
0.68,0,26,18.333333333333332,-7.685032003593243
0.68,0,27,18.541666666666668,-7.5935640177838755
0.68,0,28,18.75,-7.675632928416482
0.68,0,29,18.840704396495358,-7.5
0.68,0,30,18.958333333333332,-7.415295993091426
0.68,0,31,19.166666666666668,-7.419438713765841
0.68,0,32,19.281166422438396,-7.291666666666666
0.68,0,33,19.375,-7.1530032099484515
0.68,0,34,19.448229877279772,-7.083333333333333
0.68,0,35,19.583333333333336,-7.048006292061957
0.68,0,36,19.791666666666668,-7.062590534387732
0.68,0,37,20.0,-6.882250730223633
0.68,1,0,18.3401634507183,-10.0
0.68,1,1,18.333333333333332,-9.989670077307522
0.68,1,2,18.328702850223163,-10.0
0.68,2,0,19.430927373719562,-10.0
0.68,2,1,19.375,-9.915923768387087
0.68,2,2,19.293620317915185,-10.0
0.68,3,0,17.291666666666668,-9.830740578617505
0.68,3,1,17.32492171058824,-9.791666666666666
0.68,3,2,17.291666666666668,-9.765694495197287
0.68,3,3,17.26452264951496,-9.791666666666666
0.68,3,4,17.291666666666668,-9.830740578617505
0.68,4,0,18.541666666666668,-9.830053277067002
0.68,4,1,18.58232064077346,-9.791666666666666
0.68,4,2,18.541666666666668,-9.754724554898669
0.68,4,3,18.487923151280967,-9.791666666666666
0.68,4,4,18.541666666666668,-9.830053277067002
0.68,5,0,17.5,-9.65020319526754
0.68,5,1,17.55860285284662,-9.583333333333334
0.68,5,2,17.5,-9.486965205370453
0.68,5,3,17.44548232337223,-9.583333333333334
0.68,5,4,17.5,-9.65020319526754
0.68,6,0,19.166666666666668,-9.673530071977964
0.68,6,1,19.234084425228296,-9.583333333333336
0.68,6,2,19.16666666666667,-9.50796289499269
0.68,6,3,19.106365807036184,-9.583333333333334
0.68,6,4,19.166666666666668,-9.673530071977964
0.68,7,0,18.541666666666668,-9.237494341309596
0.68,7,1,18.567956783830255,-9.166666666666666
0.68,7,2,18.541666666666668,-9.134527630417944
0.68,7,3,18.515752659409262,-9.166666666666666
0.68,7,4,18.541666666666668,-9.237494341309596
0.68,8,0,17.5,-9.045139058252236
0.68,8,1,17.552226496129634,-8.958333333333334
0.68,8,2,17.5,-8.85839481689315
0.68,8,3,17.43665618422003,-8.958333333333334
0.68,8,4,17.5,-9.045139058252236
0.68,9,0,18.333333333333332,-8.978395355569567
0.68,9,1,18.358407857158607,-8.958333333333334
0.68,9,2,18.333333333333332,-8.91963738994834
0.68,9,3,18.268437815360095,-8.75
0.68,9,4,18.125,-8.611969312277502
0.68,9,5,18.018707908304023,-8.75
0.68,9,6,18.125,-8.877234663478752
0.68,9,7,18.304301725903514,-8.958333333333334
0.68,9,8,18.333333333333332,-8.978395355569567
0.68,10,0,18.958333333333332,-8.580743819147436
0.68,10,1,18.993962908138435,-8.541666666666666
0.68,10,2,18.958333333333332,-8.508478109340265
0.68,10,3,18.917818195495514,-8.541666666666666
0.68,10,4,18.958333333333332,-8.580743819147436
0.68,11,0,19.791666666666668,-8.150793487288531
0.68,11,1,19.810434599757897,-8.125
0.68,11,2,19.791666666666668,-8.103230649795965
0.68,11,3,19.776333746031312,-8.125
0.68,11,4,19.791666666666668,-8.150793487288531
0.68,12,0,19.166666666666668,-8.04091599481854
0.68,12,1,19.244902212674635,-7.916666666666666
0.68,12,2,19.166666666666668,-7.863017149856553
0.68,12,3,19.093800015073207,-7.916666666666666
0.68,12,4,19.166666666666668,-8.04091599481854
0.68,13,0,19.583333333333336,-7.750800235453045
0.68,13,1,19.63278396475355,-7.708333333333334
0.68,13,2,19.583333333333336,-7.66023529960485
0.68,13,3,19.532695134662852,-7.708333333333332
0.68,13,4,19.583333333333336,-7.750800235453045
