mu_scale_GeV,model,threshold,E_critical_standard_V_per_m,E_critical_polymer_V_per_m,enhancement_factor
784759970351.4623,rainbow,-10,58178800743.449356,58178800743.449356,1.0
2335721469090.121,rainbow,-10,58178800743.449356,58178800743.449356,1.0
6951927961775.591,rainbow,-10,58178800743.449356,58178800743.449356,1.0
20691380811147.902,rainbow,-10,58178800743.449356,58178800743.449356,1.0
61584821106602.55,rainbow,-10,58178800743.449356,58178800743.449356,1.0
183298071083243.75,rainbow,-10,58178800743.449356,58178800743.449356,1.0
545559478116851.44,rainbow,-10,58178800743.449356,58178800743.449356,1.0
1623776739188717.5,rainbow,-10,58178800743.449356,58178800743.449356,1.0
4832930238571752.0,rainbow,-10,58178800743.449356,58178800743.449356,1.0
1.438449888287666e+16,rainbow,-10,58178800743.449356,58178800743.449356,1.0
4.281332398719396e+16,rainbow,-10,58178800743.449356,58178800743.449356,1.0
1.2742749857031322e+17,rainbow,-10,58178800743.449356,58178800743.449356,1.0
3.792690190732238e+17,rainbow,-10,58178800743.449356,58178800743.449356,1.0
1.128837891684693e+18,rainbow,-10,58178800743.449356,58178800743.449356,1.0
3.359818286283788e+18,rainbow,-10,58178800743.449356,58178800743.449356,1.0
1e+19,rainbow,-10,58178800743.449356,58178800743.449356,1.0
